,movie_id,movie_title,overview,popularity,rating,tagline,runtime,revenue,release_date,vote_count,budget,genres,production_companies
332,626332,Flamin' Hot,"The inspiring true story of Richard Montañez, the Frito Lay janitor who channeled his Mexican American heritage and upbringing to turn the iconic Flamin’ Hot Cheetos into a snack that disrupted the food industry and became a global pop culture phenomenon.",96.4,8.16,The flavor you know. The story you don't.,99,0,2023-03-11,369,0,"['Comedy', 'Drama']","['Franklin Entertainment', 'Searchlight Pictures']"
333,459151,The Boss Baby: Family Business,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,88.25,7.445,Playtime is over.,107,146745280,2021-07-01,2243,82000000,"['Animation', 'Comedy', 'Adventure', 'Family']","['DreamWorks Animation', 'Universal Pictures']"
334,557,Spider-Man,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",91.06,7.277,With great power comes great responsibility.,121,821708551,2002-05-01,17515,139000000,"['Fantasy', 'Action']","['Marvel Enterprises', 'Laura Ziskin Productions']"
335,9072,Little Man,"After leaving the prison, the dwarf criminal Calvin Sims joins to his moron brother Percy to steal an expensive huge diamond in a jewelry for the mobster Walken. They are chased by the police, and Calvin hides the stone in the purse of the executive Vanessa Edwards, whose husband Darryl Edwards wants to have a baby. Percy convinces Calvin to dress like a baby and be left in front of the Edwards's house to get inside the house and retrieve the diamond. Darryl and Vanessa keep Calvin for the weekend and decide to adopt him, while Walken threatens Darryl to get the stone back.",99.2,5.9,Big things come in small packages,98,101595121,2006-08-31,1533,64000000,"['Comedy', 'Crime']","['Wayans Bros. Entertainment', 'Revolution Studios']"
336,247849,Одноклассники.ru: НаCLICKай удачу,An advertising creative in a rut finds his life turned upside down when he discovers his ability to write his wishes into reality.,81.06,3.7,,104,0,2013-12-12,20,0,"['Comedy', 'Romance']",['Art Pictures Studio']
337,810693,劇場版 呪術廻戦 0,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",78.0,8.2,Fight what's within.,105,195870885,2021-12-24,1029,0,"['Animation', 'Action', 'Fantasy']","['MAPPA', 'Shueisha', 'Sumzap', 'MBS', 'dugout', 'TOHO']"
338,72190,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",87.9,6.81,Remember Philly!,116,531865000,2013-06-20,14327,200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","['GK Films', 'Paramount', 'Hemisphere Media Capital', '2DUX²', 'Apparatus Productions', 'Latina Pictures', 'Skydance', 'Plan B Entertainment']"
339,843794,정이,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.",87.8,6.26,AI Combat Warrior Will be Unleashed.,98,0,2023-01-12,493,0,['Science Fiction'],['Climax Studios']
340,968580,Gabriel's Inferno: Part IV,,96.8,4.5,,0,0,2022-03-30,3,0,[],[]
341,759175,The Princess,"A beautiful, strong-willed young royal refuses to wed the cruel sociopath to whom she is betrothed and is kidnapped and locked in a remote tower of her father’s castle. With her scorned, vindictive suitor intent on taking her father’s throne, the princess must protect her family and save the kingdom.",85.3,6.88,Bow to no one.,94,0,2022-06-16,700,0,"['Action', 'Fantasy']","['20th Century Studios', 'Original Film']"
342,1157400,"Ready, Jet, Go! Space Camp: The Movie","Jet and his friends Sean, Sydney and Mindy attend a space camp, where they put their skills to the test. Along the way, Sunspot develops an allergic reaction that causes him to shrink. Team Propulsion must leave the camp and find the cure, ""Dehshrinkulum,"" without Mitchell discovering just what they're doing.",100.25,7.7,,85,0,2023-07-20,3,0,"['Animation', 'Family', 'Science Fiction', 'Adventure']","['Silver Creek Falls Entertainment', 'Universal 1440 Entertainment', 'DreamWorks Home Entertainment']"
343,259693,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,94.0,7.29,The next true story from the case files of Ed and Lorraine Warren.,134,321834351,2016-06-08,7680,40000000,"['Horror', 'Thriller']","['New Line Cinema', 'Dune Entertainment', 'The Safran Company', 'Evergreen Media Group', 'Atomic Monster']"
344,296096,Me Before You,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",90.06,7.92,Live boldly.,110,207945075,2016-06-01,11342,20000000,"['Drama', 'Romance']","['New Line Cinema', 'Sunswept Entertainment', 'Metro-Goldwyn-Mayer']"
345,1930,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",91.2,6.69,The untold story begins.,136,757930663,2012-06-23,16270,215000000,"['Action', 'Adventure', 'Fantasy']","['Marvel Entertainment', 'Laura Ziskin Productions', 'Columbia Pictures', 'Matt Tolmach Productions', 'Arad Productions']"
346,948031,Mukavemet,"Ecem and Rahmi, who are at the very beginning of their relationship, live in the basement of an apartment in Istanbul. Their life takes a different turn one night when Ecem's ex-boyfriend Kazim comes to their doorstep. The anger of Rahmi, who is very jealous, causes a night full of regrets.",121.7,5.668,A tumultuous night of jealousy and frenzy in one-shot!,104,0,2022-04-17,3,0,"['Thriller', 'Crime', 'Drama']","['V-Film', 'Zamkinos Film']"
347,1130571,Aged,"After taking a temporary job as a caregiver, a young woman realizes her employer and the house have a dangerous, dark past.",86.75,0.0,Old age comes for us all.,0,0,2023-06-15,0,0,['Horror'],[]
348,11360,Dumbo,"Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.",86.7,7.0,The One...The Only...The FABULOUS...,64,1600000,1941-10-31,4554,812000,"['Animation', 'Family']",['Walt Disney Productions']
